date,EmployeeID,status
2/1/2025,EMP0000,Present
2/2/2025,EMP0001,Present
2/3/2025,EMP0002,Present
2/4/2025,EMP0003,Present
2/5/2025,EMP0004,Present
2/6/2025,EMP0005,Present
2/7/2025,EMP0006,Absent
2/8/2025,EMP0007,Present
2/9/2025,EMP0008,Absent
2/10/2025,EMP0009,Present
2/11/2025,EMP0010,Present
2/12/2025,EMP0011,Present
2/13/2025,EMP0012,Present
2/14/2025,EMP0013,Absent
2/15/2025,EMP0014,Present
2/16/2025,EMP0015,Present
2/17/2025,EMP0016,Present
2/18/2025,EMP0017,Present
2/19/2025,EMP0018,Present
2/20/2025,EMP0019,Absent
2/21/2025,EMP0020,Present
2/22/2025,EMP0021,Absent
2/23/2025,EMP0022,Present
2/24/2025,EMP0023,Present
2/25/2025,EMP0024,Absent
2/26/2025,EMP0025,Present
2/27/2025,EMP0026,Present
2/28/2025,EMP0027,Present
3/1/2025,EMP0028,Absent
3/2/2025,EMP0029,Absent
3/3/2025,EMP0030,Present
3/4/2025,EMP0031,Present
3/5/2025,EMP0032,Present
3/6/2025,EMP0033,Present
3/7/2025,EMP0034,Present
3/8/2025,EMP0035,Present
3/9/2025,EMP0036,Absent
3/10/2025,EMP0037,Present
3/11/2025,EMP0038,Present
3/12/2025,EMP0039,Present
3/13/2025,EMP0040,Present
3/14/2025,EMP0041,Absent
3/15/2025,EMP0042,Present
3/16/2025,EMP0043,Present
3/17/2025,EMP0044,Present
3/18/2025,EMP0045,Present
3/19/2025,EMP0046,Present
3/20/2025,EMP0047,Present
3/21/2025,EMP0048,Present
3/22/2025,EMP0049,Present
3/23/2025,EMP0050,Present
3/24/2025,EMP0051,Present
3/25/2025,EMP0052,Present
3/26/2025,EMP0053,Present
3/27/2025,EMP0054,Present
3/28/2025,EMP0055,Absent
3/29/2025,EMP0056,Present
3/30/2025,EMP0057,Present
3/31/2025,EMP0058,Present
4/1/2025,EMP0059,Present
4/2/2025,EMP0060,Present
4/3/2025,EMP0061,Present
4/4/2025,EMP0062,Present
4/5/2025,EMP0063,Absent
4/6/2025,EMP0064,Present
4/7/2025,EMP0065,Present
4/8/2025,EMP0066,Present
4/9/2025,EMP0067,Present
4/10/2025,EMP0068,Absent
4/11/2025,EMP0069,Present
4/12/2025,EMP0070,Present
4/13/2025,EMP0071,Present
4/14/2025,EMP0072,Present
4/15/2025,EMP0073,Present
4/16/2025,EMP0074,Present
4/17/2025,EMP0075,Absent
4/18/2025,EMP0076,Present
4/19/2025,EMP0077,Present
4/20/2025,EMP0078,Present
4/21/2025,EMP0079,Present
4/22/2025,EMP0080,Present
4/23/2025,EMP0081,Present
4/24/2025,EMP0082,Present
4/25/2025,EMP0083,Absent
4/26/2025,EMP0084,Present
4/27/2025,EMP0085,Absent
4/28/2025,EMP0086,Present
4/29/2025,EMP0087,Present
4/30/2025,EMP0088,Present
5/1/2025,EMP0089,Present
5/2/2025,EMP0090,Absent
5/3/2025,EMP0091,Present
5/4/2025,EMP0092,Present
5/5/2025,EMP0093,Present
5/6/2025,EMP0094,Present
5/7/2025,EMP0095,Present
5/8/2025,EMP0096,Present
5/9/2025,EMP0097,Present
5/10/2025,EMP0098,Present
5/11/2025,EMP0099,Present
5/12/2025,EMP0100,Present
5/13/2025,EMP0101,Present
5/14/2025,EMP0102,Present
5/15/2025,EMP0103,Present
5/16/2025,EMP0104,Present
5/17/2025,EMP0105,Present
5/18/2025,EMP0106,Present
5/19/2025,EMP0107,Present
5/20/2025,EMP0108,Present
5/21/2025,EMP0109,Present
5/22/2025,EMP0110,Present
5/23/2025,EMP0111,Present
5/24/2025,EMP0112,Present
5/25/2025,EMP0113,Absent
5/26/2025,EMP0114,Present
5/27/2025,EMP0115,Present
5/28/2025,EMP0116,Present
5/29/2025,EMP0117,Present
5/30/2025,EMP0118,Present
5/31/2025,EMP0119,Present
6/1/2025,EMP0120,Present
6/2/2025,EMP0121,Present
6/3/2025,EMP0122,Present
6/4/2025,EMP0123,Present
6/5/2025,EMP0124,Present
6/6/2025,EMP0125,Absent
6/7/2025,EMP0126,Present
6/8/2025,EMP0127,Present
6/9/2025,EMP0128,Present
6/10/2025,EMP0129,Absent
6/11/2025,EMP0130,Present
6/12/2025,EMP0131,Present
6/13/2025,EMP0132,Absent
6/14/2025,EMP0133,Present
6/15/2025,EMP0134,Present
6/16/2025,EMP0135,Present
